"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"INFY","EQ","02-Jan-2017","       1010.60","       1011.10","       1012.95","        999.35","       1002.90","       1001.10","       1004.35","    1167611","          1172694415.90","      28829"
"INFY","EQ","03-Jan-2017","       1001.10","       1004.10","       1004.90","        982.00","        995.05","        993.85","        989.67","    3389241","          3354225264.35","     113621"
"INFY","EQ","04-Jan-2017","        993.85","        995.05","       1004.20","        992.25","        992.45","        997.75","        998.94","    3536793","          3533038014.60","      99650"
"INFY","EQ","05-Jan-2017","        997.75","       1001.60","       1009.50","        988.75","        996.20","        996.15","       1000.19","    4103537","          4104325149.70","     100603"
"INFY","EQ","06-Jan-2017","        996.15","        994.90","        998.85","        968.05","        977.30","        972.25","        973.69","    7196724","          7007392619.10","     171262"
"INFY","EQ","09-Jan-2017","        972.25","        972.25","        976.95","        965.00","        970.00","        970.35","        969.08","    5272846","          5109833702.85","      86963"
"INFY","EQ","10-Jan-2017","        970.35","        977.00","        981.00","        967.95","        971.15","        970.55","        973.74","    5969927","          5813159905.30","      97596"
"INFY","EQ","11-Jan-2017","        970.55","        974.20","        978.45","        963.95","        969.40","        969.10","        967.78","    6120787","          5923561832.00","     192442"
"INFY","EQ","12-Jan-2017","        969.10","        977.55","       1004.40","        977.55","       1001.50","       1000.05","        992.36","    5927870","          5882574393.90","     152968"
"INFY","EQ","13-Jan-2017","       1000.05","       1030.00","       1040.00","        962.70","        972.60","        975.80","        992.90","   15638123","         15527153070.30","     327113"
"INFY","EQ","16-Jan-2017","        975.80","        965.00","        965.45","        952.45","        957.45","        955.65","        959.11","    6175686","          5923132618.25","     139257"
"INFY","EQ","17-Jan-2017","        955.65","        956.25","        964.00","        952.40","        955.55","        955.40","        958.04","    2780047","          2663386306.15","      80315"
"INFY","EQ","18-Jan-2017","        955.40","        958.10","        961.00","        949.80","        950.90","        950.80","        955.60","    2976481","          2844323918.80","     109771"
"INFY","EQ","19-Jan-2017","        950.80","        951.00","        959.60","        948.10","        957.50","        958.10","        954.00","    4438240","          4234068517.95","     139441"
"INFY","EQ","20-Jan-2017","        958.10","        950.00","        953.15","        946.00","        946.15","        948.70","        949.00","    4562371","          4329702969.85","     106341"
"INFY","EQ","23-Jan-2017","        948.70","        945.00","        958.00","        940.00","        952.95","        952.70","        953.45","    3974290","          3789278959.75","     116065"
"INFY","EQ","24-Jan-2017","        952.70","        950.00","        950.00","        940.10","        946.05","        945.55","        944.02","    3413005","          3221953219.40","     101476"
"INFY","EQ","25-Jan-2017","        945.55","        946.10","        946.80","        934.80","        936.55","        936.60","        939.73","    4989045","          4688355348.75","     123432"
"INFY","EQ","27-Jan-2017","        936.60","        933.85","        947.55","        901.15","        942.65","        942.15","        939.20","    5317569","          4994263502.90","     119331"
"INFY","EQ","30-Jan-2017","        942.15","        937.50","        951.50","        928.85","        948.05","        949.35","        943.57","    5684604","          5363833727.95","     147702"
"INFY","EQ","31-Jan-2017","        949.35","        941.50","        941.50","        904.35","        929.40","        928.60","        925.07","   12034267","         11132572521.65","     275395"
"INFY","EQ","01-Feb-2017","        928.60","        921.10","        923.20","        905.15","        916.00","        916.75","        913.71","    5765891","          5268375697.20","     170177"
"INFY","EQ","02-Feb-2017","        916.75","        917.00","        945.00","        910.10","        934.70","        935.90","        931.77","    5914134","          5510613426.95","     123387"
"INFY","EQ","03-Feb-2017","        935.90","        933.80","        940.90","        921.05","        934.05","        936.10","        929.96","    4211979","          3916979843.35","     136814"
"INFY","EQ","06-Feb-2017","        936.10","        937.25","        943.75","        930.55","        934.00","        935.25","        935.91","    3363967","          3148362598.95","      90322"
"INFY","EQ","07-Feb-2017","        935.25","        933.00","        949.80","        928.55","        946.00","        942.25","        937.35","    4634001","          4343703630.05","      78781"
"INFY","EQ","08-Feb-2017","        942.25","        936.00","        944.10","        932.45","        934.00","        936.50","        936.48","    3159981","          2959255450.60","     104030"
"INFY","EQ","09-Feb-2017","        936.50","        937.00","        950.00","        936.55","        946.00","        946.00","        944.59","    5953633","          5623726243.80","     212836"
"INFY","EQ","10-Feb-2017","        946.00","        946.25","        972.00","        943.30","        967.00","        968.30","        959.62","    6126226","          5878867732.60","     147110"
"INFY","EQ","13-Feb-2017","        968.30","        972.85","        986.10","        962.85","        984.00","        984.35","        978.43","    6862134","          6714084290.75","     115322"
"INFY","EQ","14-Feb-2017","        984.35","        980.00","        989.00","        972.35","        987.75","        987.70","        982.86","    4669409","          4589393176.15","      93050"
"INFY","EQ","15-Feb-2017","        987.70","        989.20","        998.80","        968.80","        982.15","        981.80","        984.58","    3629743","          3573754984.15","      69110"
"INFY","EQ","16-Feb-2017","        981.80","        991.00","       1013.90","        990.05","       1012.00","       1012.10","       1004.57","    6407929","          6437217884.55","     114268"
"INFY","EQ","17-Feb-2017","       1012.10","       1013.75","       1013.75","        992.70","        999.00","       1000.10","       1000.09","    2425604","          2425826884.10","      67547"
"INFY","EQ","20-Feb-2017","       1000.10","        996.50","       1031.00","        993.50","       1030.00","       1010.25","       1002.49","    2325331","          2331129297.95","      57830"
"INFY","EQ","21-Feb-2017","       1010.25","       1022.10","       1024.50","       1000.05","       1011.00","       1013.60","       1014.45","    3806998","          3862010544.30","      86430"
"INFY","EQ","22-Feb-2017","       1013.60","       1015.00","       1015.00","        986.40","        991.00","        990.15","        994.38","    3303919","          3285353833.80","     121253"
